咪咕央视（公网）,#genre#
CCTV1综合,http://120.48.113.49:6006/608807420
CCTV2财经,http://120.48.113.49:6006/631780532
CCTV3综艺,http://120.48.113.49:6006/624878271
CCTV4中文国际,http://120.48.113.49:6006/631780421
CCTV5体育,http://120.48.113.49:6006/641886683
CCTV5+体育赛事,http://120.48.113.49:6006/641886773
CCTV6电影,http://120.48.113.49:6006/624878396
CCTV7国防军事,http://120.48.113.49:6006/673168121
CCTV8电视剧,http://120.48.113.49:6006/624878356
CCTV9纪录,http://120.48.113.49:6006/673168140
CCTV10科教,http://120.48.113.49:6006/624878405
CCTV11戏曲,http://120.48.113.49:6006/667987558
CCTV12社会与法,http://120.48.113.49:6006/673168185
CCTV13新闻,http://120.48.113.49:6006/608807423
CCTV14少儿,http://120.48.113.49:6006/624878440
CCTV15音乐,http://120.48.113.49:6006/673168223
CCTV17农业农村,http://120.48.113.49:6006/673168256
CCTV4欧洲,http://120.48.113.49:6006/608807419
CCTV4美洲,http://120.48.113.49:6006/608807416
CGTN外语纪录,http://120.48.113.49:6006/609006487
CGTN阿拉伯语,http://120.48.113.49:6006/609154345
CGTN西班牙语,http://120.48.113.49:6006/609006450
CGTN法语,http://120.48.113.49:6006/609006476
CGTN俄语,http://120.48.113.49:6006/609006446
老故事,http://120.48.113.49:6006/884121956
发现之旅,http://120.48.113.49:6006/624878970
中学生,http://120.48.113.49:6006/708869532
CGTN,http://120.48.113.49:6006/609017205

虎牙.电影（公网）,#genre#

007电影,http://43.136.68.106:35455/huya/21059585
洪金宝,http://43.136.68.106:35455/huya/11279251
梁家辉,http://43.136.68.106:35455/huya/11342429
周润发,http://43.136.68.106:35455/huya/11342387
周星驰,http://43.136.68.106:35455/huya/11336587
刘德华,http://43.136.68.106:35455/huya/11342424
成龙,http://43.136.68.106:35455/huya/11342386
王晶,http://43.136.68.106:35455/huya/11602058
林正英,http://43.136.68.106:35455/huya/11342421
周星驰,http://43.136.68.106:35455/huya/11342412
我摊牌啦 一起看热门大片,http://43.136.68.106:35455/huya/880261
【虎牙影院】沈腾经典片放映,http://43.136.68.106:35455/huya/11601968
【春节贺岁档】神仙打架 看就完事了！,http://43.136.68.106:35455/huya/11601986
超级英雄电影·永远的神！,http://43.136.68.106:35455/huya/11352950
【五福星】每天都要快乐哦,http://43.136.68.106:35455/huya/11282233
经典之作·陆小凤系列,http://43.136.68.106:35455/huya/11342427
各位观众 五条A！！！！,http://43.136.68.106:35455/huya/21059607
【元宵节快乐】我们一起找乐子,http://43.136.68.106:35455/huya/11602044
一起来看搞笑恐怖电影 弹幕护体,http://43.136.68.106:35455/huya/11601960
洪武大案朱元璋惩贪,http://43.136.68.106:35455/huya/11352973
【许氏三杰】快来 就差你了,http://43.136.68.106:35455/huya/11602033
马东锡 看我沙包大的拳头,http://43.136.68.106:35455/huya/21059556
怪兽打架x异形世界：爽就完事了,http://43.136.68.106:35455/huya/21059577
超爽动作电影 九龙城寨精武英雄,http://43.136.68.106:35455/huya/10871113
大场面战争片:一枚核弹爆炸,http://43.136.68.106:35455/huya/21059574
一梦中土 沉醉一生,http://43.136.68.106:35455/huya/11342385
si神来了系列  好怕怕,http://43.136.68.106:35455/huya/11352903
人狠话不多,王宝强经典电影！,http://43.136.68.106:35455/huya/30080251
经典灾难大片 人类在大自然面前不值一提,http://43.136.68.106:35455/huya/23728647
各位观众 请看！！！,http://43.136.68.106:35455/huya/11342399
不挤电影院也能笑着过春节！,http://43.136.68.106:35455/huya/11352897
杰森·斯坦森:郭达是你吗,http://43.136.68.106:35455/huya/21059588
【女神系列】邱淑贞 王祖贤 张曼玉	,http://43.136.68.106:35455/huya/11336571
首尔之春 这一晚han国发生了什么,http://43.136.68.106:35455/huya/30080226
枪战还是得看他！,http://43.136.68.106:35455/huya/21059579
【叶师傅】我要打十个,http://43.136.68.106:35455/huya/23829543
国产高燃动作电影 姿势要帅,http://43.136.68.106:35455/huya/11602041
怪兽宇宙电影！哥斯拉大战金刚,http://43.136.68.106:35455/huya/29982674
【古天乐】古仔帅气开打,http://43.136.68.106:35455/huya/29982675
上天下海拼手速 后继无人阿汤哥,http://43.136.68.106:35455/huya/26355792
[诺兰电影] 科幻史诗巨作！,http://43.136.68.106:35455/huya/30080257
【丧尸来啦】搞笑奇葩僵尸,http://43.136.68.106:35455/huya/11342422
哈利波特邀请您：霍格沃兹开学啦！,http://43.136.68.106:35455/huya/29982669
快意江湖：金庸的武侠世界,http://43.136.68.106:35455/huya/11342435
喜剧粤语专场 看喜剧笑一笑吧,http://43.136.68.106:35455/huya/11352894
兰博老矣，尚能饭否,http://43.136.68.106:35455/huya/26355849
不是 好好地你惹他干嘛,http://43.136.68.106:35455/huya/11279247
最新科幻大片 速来认领你的年度颅内狂欢,http://43.136.68.106:35455/huya/11352965
人性本恶 凶山恶水出刁民,http://43.136.68.106:35455/huya/29982649
let‘s疯狂地赛车,http://43.136.68.106:35455/huya/11352876
国产悬疑精选·智商在线,http://43.136.68.106:35455/huya/11342395
大器晚成 影帝林家栋合集,http://43.136.68.106:35455/huya/11352877
英雄纪元碰撞：从蝙蝠洞到斯塔克大厦24小时穿越,http://43.136.68.106:35455/huya/11601980
校园热血电影，不比古惑仔差,http://43.136.68.106:35455/huya/11352934
异形 VS 铁血战士,http://43.136.68.106:35455/huya/11602047
漫改电影系列 超强剑心来袭,http://43.136.68.106:35455/huya/11336593
搞笑喜剧：最佳拍档 精装追女仔,http://43.136.68.106:35455/huya/11342423
巨石强森系列:真肌肉就是爽,http://43.136.68.106:35455/huya/21059581
看完你也学不会系列~,http://43.136.68.106:35455/huya/11352945
星际迷航, 勇踏前人未至之境,http://43.136.68.106:35455/huya/30080232
【敢死队】肌肉改变世界,http://43.136.68.106:35455/huya/23864973
狄仁杰系列电影，悬疑烧脑的探案故事,http://43.136.68.106:35455/huya/30080229
家人们我笑麻了,http://43.136.68.106:35455/huya/21059615
古墓系列·去冒险吧！,http://43.136.68.106:35455/huya/11352913
今晚别去木屋！鬼玩人系列噩梦小屋轮播,http://43.136.68.106:35455/huya/23728674
经典烧脑探案推理电影合集 快上车!,http://43.136.68.106:35455/huya/30080172
星球大战: 宇宙电影的起点,http://43.136.68.106:35455/huya/30080234
国师名场面暴击！张艺谋电影全收录每帧都是教科书！,http://43.136.68.106:35455/huya/23863895
谁会不喜欢可爱的小黄人呢,http://43.136.68.106:35455/huya/11342428
硬汉动作片！肾上腺素狂飙,http://43.136.68.106:35455/huya/29465873
利刃双雄：si侍与金刚狼,http://43.136.68.106:35455/huya/30080224
黑色幽默 荒诞世界,http://43.136.68.106:35455/huya/30080159
国外一个打十个系列,http://43.136.68.106:35455/huya/23863818
国外超好看经典电影！不看要后悔了,http://43.136.68.106:35455/huya/30080155
各位话事人谁赞成谁反对,http://43.136.68.106:35455/huya/26355853
I'll be back,http://43.136.68.106:35455/huya/20985841
蛇蝎萝莉 暗黑正太 天生坏种,http://43.136.68.106:35455/huya/26355802
经典史诗电影 角斗士 天国王朝,http://43.136.68.106:35455/huya/20969119
血浆炸弹 嗜血芭蕾 准备好了没2,http://43.136.68.106:35455/huya/21241803
片荒必存！公认的好莱坞巅峰之作，一次性看够,http://43.136.68.106:35455/huya/23734223
[黑夜传说] 吸血鬼大战狼人,http://43.136.68.106:35455/huya/30080231
情人节：港片教你追女仔,http://43.136.68.106:35455/huya/11602043
最新动作大片 速来领取你的下饭小菜,http://43.136.68.106:35455/huya/23728651
窝在沙发看憨豆！笑到打鸣！,http://43.136.68.106:35455/huya/20969133
扣人心弦海外悬疑大片 结局超乎想象,http://43.136.68.106:35455/huya/21059530
丧尸围城！活死人系列24小时尸潮连播,http://43.136.68.106:35455/huya/30080183
无聊点进来笑一笑 别笑出猪叫,http://43.136.68.106:35455/huya/29465896
来自万圣节的追杀,http://43.136.68.106:35455/huya/23824171
【新年快乐】港式哈哈笑 ,http://43.136.68.106:35455/huya/11601971
最新泡菜国大片 复仇动作搞笑一网打尽,http://43.136.68.106:35455/huya/26355838
全世界都钟爱的盗墓电影鼻祖,http://43.136.68.106:35455/huya/11601981
空降的英雄，肌肉科技梦男,http://43.136.68.106:35455/huya/26355780
纳尼亚传奇 博物馆奇妙夜系列,http://43.136.68.106:35455/huya/30080188
最新惊悚电影来啦 一个人不敢看,http://43.136.68.106:35455/huya/20985789
国产搞笑喜剧，哪个戳爆你笑点,http://43.136.68.106:35455/huya/21059559
许绍雄 青山远行 艺影长存,http://43.136.68.106:35455/huya/20985771
无形之手 银河映像宿命论之夜,http://43.136.68.106:35455/huya/30080174
千万不要一个人看！敢看到最后的都是狠人！,http://43.136.68.106:35455/huya/20985839
印度高分电影 看阿三哥开挂,http://43.136.68.106:35455/huya/26355799
一个案件击溃整个小镇,http://43.136.68.106:35455/huya/24609811
恺撒 金刚 哥斯拉大混战,http://43.136.68.106:35455/huya/11601965
从菜鸟到拳王！你想不想变强？,http://43.136.68.106:35455/huya/20969100
史诗级谍战 速围观,http://43.136.68.106:35455/huya/20969129
